Nodelist,,,,,,,,,
id,name,type,sex,origin,genre,language,year,second year,track
25,25 by Adele,2,NA,NA,1,1,2016,2017,11
1989,1989 by Taylor Swift,2,NA,NA,1,1,2016,,13
Adel,Adele,1,1,1,NA,NA,NA,,
Ahea,A head full of dreams by Coldplay,2,NA,NA,1,1,2016,2017,12
AliK,Ali Kocatepe,1,2,,NA,NA,NA,,
AliP,Ali Payami,1,2,10,NA,NA,NA,,
Aman,Amanda Ghost,1,1,1,NA,NA,NA,,
Amma,Ammar Malik,1,2,2,NA,NA,NA,,
AmyW,Amy Wadge,1,1,1,NA,NA,NA,,
Andr,Andrew Haas,1,,2,NA,NA,NA,,
Aria,Ariana Grande,1,1,2,NA,NA,NA,,
AUGU,AUGUST 08,1,2,2,NA,NA,NA,,
Barn,Barney Freeman,1,2,,NA,NA,NA,,
Beau,Beauty behind the madness by the weeknd,2,NA,NA,1,1,2016,,14
Bell,Belly,1,2,10,NA,NA,NA,,
BenB,Ben Billions,1,,,NA,NA,NA,,
BenF,Ben Fagan,1,2,2,NA,NA,NA,,
Benn,Benny Blanco,1,2,1,NA,NA,NA,,
BenV,Ben Vella,1,,,NA,NA,NA,,
Beyo,Beyoncé,1,1,2,NA,NA,NA,,
BigS,Big Sean,1,2,2,NA,NA,NA,,
BigT,Big Taste,1,2,,NA,NA,NA,,
Bloo,BloodPop,1,2,2,NA,NA,NA,,
Blyt,Blythe Pepino,1,1,,NA,NA,NA,,
BOOT,BOOTS,1,2,,NA,NA,NA,,
Bran,Brandon Green,1,2,2,NA,NA,NA,,
Bret,Brett James,1,2,,NA,NA,NA,,
Bria,Brian West,1,2,7,NA,NA,NA,,
Brod,Brody Brown,1,2,2,NA,NA,NA,,
Bruc,Bruce Springsteen,1,2,2,NA,NA,NA,,
Brun,Bruno Mars,1,2,2,NA,NA,NA,,
Cait,Caitlyn Smith,1,1,2,NA,NA,NA,,
Carl,Carl Marshall,1,,,NA,NA,NA,,
Caro,Carolyn Leigh,1,1,2,NA,NA,NA,,
CheP,Che Pope,1,,,NA,NA,NA,,
ChrisM,Chris Martin,1,2,1,NA,NA,NA,,
Chri,Chris Gelbuda,1,2,2,NA,NA,NA,,
Clar,Clarence Coffee Jr.,1,2,2,NA,NA,NA,,
CyCo,Cy Coleman,1,2,2,NA,NA,NA,,
DaHe,DaHeala,1,2,7,NA,NA,NA,,
Dang,Danger Mouse,1,2,2,NA,NA,NA,,
Dani,Daniel Bryer,1,2,1,NA,NA,NA,,
Dann,Danny Elfman,1,2,2,NA,NA,NA,,
DannyB,DannyBoyStyles,1,,,NA,NA,NA,,
DaveO,Dave Okumu,1,2,10,NA,NA,NA,,
Dave,Dave Rodriguez,1,,,NA,NA,NA,,
Devo,Devonte Hynes,1,2,1,NA,NA,NA,,
Dipl,Diplo,1,2,2,NA,NA,NA,,
DJKh,DJ Khaled,1,,,NA,NA,NA,,
Domi,Dominic Jordan,1,2,2,NA,NA,NA,,
Eben,Eben Wares,1,2,,NA,NA,NA,,
EdDr,Ed Drewett,1,2,1,NA,NA,NA,,
EdSh,Ed Sheeran,1,2,1,NA,NA,NA,,
EgWh,Eg White,1,2,1,NA,NA,NA,,
Elvi,Elvin Smith,1,2,1,NA,NA,NA,,
Emil,Emile Haynie,1,2,2,NA,NA,NA,,
Euge,Eugene Record,1,2,2,NA,NA,NA,,
Fift,Fifty Shades of grey by various artists,2,NA,NA,12,1,2016,,16
FoyV,Foy Vance,1,2,1,NA,NA,NA,,
Fras,Fraser T. Smith,1,2,1,NA,NA,NA,,
Gary,Gary Lightbody,1,2,1,NA,NA,NA,,
Gera,Gerald Eaton,1,2,10,NA,NA,NA,,
Glad,Gladius,1,2,,NA,NA,NA,,
Greg,Greg Kurstin,1,2,2,NA,NA,NA,,
GuyB,Guy Berryman,1,2,1,NA,NA,NA,,
Harr,Harry Syles,1,2,1,NA,NA,NA,,
IanF,Ian Franzino,1,2,2,NA,NA,NA,,
IanK,Ian Kirkpatrick,1,2,10,NA,NA,NA,,
Illa,Illangelo,1,,,NA,NA,NA,,
ILYA,ILYA,1,2,9,NA,NA,NA,,
Imog,Imogen Heap,1,1,1,NA,NA,NA,,
InTh,In The Lonely Hour by Sam Smith,2,NA,NA,1,1,2016,,10
Jack,Jack Antonoff,1,2,2,NA,NA,NA,,
Jaco,Jacob Kasher,1,2,2,NA,NA,NA,,
Jame,James Worthy,1,2,2,NA,NA,NA,,
James,James G. Morales,1,2,,NA,NA,NA,,
Jami,Jamie Scott,1,2,1,NA,NA,NA,,
JAYZ,JAY-Z,1,2,2,NA,NA,NA,,
Jeff,Jeff Lynne,1,2,1,NA,NA,NA,,
Jere,Jeremy Snyder,1,2,,NA,NA,NA,,
JesseS,Jesse Shatkin,1,2,2,NA,NA,NA,,
JessieW,Jessie Ware,1,1,1,NA,NA,NA,,
Jess,Jesse Frasure,1,,,NA,NA,NA,,
Jhar,Jhart,1,2,1,NA,NA,NA,,
JimmyG,Jimmy Giannos,1,NA,NA,NA,NA,NA,,
Jimm,Jimmy Napes,1,2,1,NA,NA,NA,,
Joha,Johan Carlsson,1,,,NA,NA,NA,,
Johnny,Johnny McDaid,1,2,1,NA,NA,NA,,
JohnR,John Ryan,1,2,2,NA,NA,NA,,
JohnN,John Newton,1,2,2,NA,NA,NA,,
Jonn,Jonny Buckland,1,2,1,NA,NA,NA,,
Jord,Jordan Ware,1,2,2,NA,NA,NA,,
Josh,Josh Gudwin,1,2,2,NA,NA,NA,,
JuliaM,Julia Michaels,1,1,2,NA,NA,NA,,
Juli,Julian Bunetta,1,2,2,NA,NA,NA,,
Just,Justin Bieber,1,2,1,NA,NA,NA,,
JustinTr,Justin Tranter,1,2,2,NA,NA,NA,,
Kany,Kanye West,1,,,NA,NA,NA,,
Kare,Karen Thronton,1,1,NA,NA,NA,NA,,
Karl,Karl Rubin,1,2,,NA,NA,NA,,
Keit,Keith Richards,1,2,1,NA,NA,NA,,
Kevi,Kevin Kadish,1,2,2,NA,NA,NA,,
Labr,Labrinth,1,,,NA,NA,NA,,
Lana,Lana Del Rey,1,,,NA,NA,NA,,
Laur,Laura Welsh,1,1,1,NA,NA,NA,,
Liam,Liam Payne,1,2,1,NA,NA,NA,,
Loui,Louis Tomlinson,1,2,1,NA,NA,NA,,
Lunc,LunchMoney Lewis,1,2,2,NA,NA,NA,,
Made,Made in the A.M. by One Direction,2,NA,NA,1,1,2016,NA,17
Mano,Mano,1,2,10,NA,NA,NA,,
Mark,Mark The Mogul Jackson,1,2,,NA,NA,NA,,
Matt,Matt Prime,1,2,1,NA,NA,NA,,
MattM,Matt Morales,1,2,,NA,NA,NA,,
MaxM,Max Martin,1,2,9,NA,NA,NA,,
MdL,MdL,1,2,2,NA,NA,NA,,
Megh,Meghan Trainor,1,1,2,NA,NA,NA,,
Mick,Mick Jagger,1,2,1,NA,NA,NA,,
MIKE,MIKE DEAN,1,2,2,NA,NA,NA,,
MikeN,Mike Needle,1,2,1,NA,NA,NA,,
Mikk,Mikkel Storleer Eriksen,1,2,,NA,NA,NA,,
MoZe,MoZella,1,1,2,NA,NA,NA,,
Nial,Niall Horan,1,2,10,NA,NA,NA,,
Nico,Nico Stadi,1,2,10,NA,NA,NA,,
Noah,Noah Goldstein,1,,,NA,NA,NA,,
Oliv,Oliver Kraus,1,2,3,NA,NA,NA,,
Osma,Osman Ismen,1,,,NA,NA,NA,,
Paul,Paul Epworth,1,2,1,NA,NA,NA,,
Pete,Peter Svensson,1,,,NA,NA,NA,,
Phar,Pharrell Williams,1,2,2,NA,NA,NA,,
Phil,Philip Lawrence,1,2,2,NA,NA,NA,,
PooB,Poo Bear,1,2,2,NA,NA,NA,,
Purp,Purpose by Justin Bieber,2,NA,NA,1,1,2016,,14
Rich,Rich Harrison,1,2,2,NA,NA,NA,,
Robe,Robert Holmes,1,,,NA,NA,NA,,
RonN,Ron NEFF-U Feemster,1,2,2,NA,NA,NA,,
Ross,Ross Golan,1,2,2,NA,NA,NA,,
Rudi,Rudimental,1,2,1,NA,NA,NA,,
Rumi,Rumi,1,,,NA,NA,NA,,
Ryan,Ryan Tedder,1,2,2,NA,NA,NA,,
Sabah,Sabahattin Ali,1,,,NA,NA,NA,,
SamS,Sam Smith,1,2,1,NA,NA,NA,,
Samu,Samuel Dixon,1,2,8,NA,NA,NA,,
Sara,Sarah Hudson,1,1,2,NA,NA,NA,,
Sava,Savan Kotecha,1,2,2,NA,NA,NA,,
Scoo,Scooter Braun,1,2,,NA,NA,NA,,
Scre,Screamin Jay Hawkins,1,2,2,NA,NA,NA,,
Shel,Shellback,1,2,9,NA,NA,NA,,
ShyC,Shy Carter,1,,,NA,NA,NA,,
Sia,Sia,1,1,8,NA,NA,NA,,
Simo,Simon Aldred,1,2,1,NA,NA,NA,,
Skri,Skrillex,1,2,2,NA,NA,NA,,
Skyl,Skylar Grey,1,1,2,NA,NA,NA,,
Step,Stephan Moccio,1,2,7,NA,NA,NA,,
Stev,Steve James,1,2,2,NA,NA,NA,,
Tayl,Taylor Swift,1,1,2,NA,NA,NA,,
TheW,The Weeknd,1,2,7,NA,NA,NA,,
Thom,Thomas Troelsen,1,2,10,NA,NA,NA,,
Thoma,Thomas Raybould,1,,,NA,NA,NA,,
Titl,Title by Meghan Traiinor,2,NA,NA,1,1,2016,,15
TMS,TMS,1,,1,NA,NA,NA,,
Tobi,Tobias Jesso Jr.,1,2,7,NA,NA,NA,,
Todd,Todd Carey,1,2,2,NA,NA,NA,,
TomP,Tom Petty,1,2,2,NA,NA,NA,,
TorE,Tor Erik Hermansen,1,2,10,NA,NA,NA,,
Tour,Tourist,1,2,1,NA,NA,NA,,
Tove,Tove Lo,1,1,9,NA,NA,NA,,
Trav,Travis Scott,1,2,2,NA,NA,NA,,
TwoI,Two Inch Punch,1,2,1,NA,NA,NA,,
Wayn,Wayne Hector,1,2,1,NA,NA,NA,,
WillChampl,Will Champlin,1,2,2,NA,NA,NA,,
WillC,Will Champion,1,2,1,NA,NA,NA,,
X,X by Ed Sheeran,2,Na,NA,1,1,2016,,12
JustinW,Justin Weaver,1,2,NA,NA,NA,NA,NA,NA
