id,to,weight,relation,participation,count
Adel,25,7,2,7,11
Brod,25,1,1,1,1
Brun,25,1,1,1,1
Dang,25,1,1,1,1
Greg,25,3,1,3,3
MaxM,25,1,1,1,1
PaulE,25,1,1,1,2
Philip,25,1,1,1,1
Ryan,25,1,1,1,1
Samu,25,1,1,1,1
Shel,25,1,1,1,1
Tobi,25,1,1,1,1
AmyW,X,1,1,1,1
Benn,X,1,1,1,1
EdSh,X,7,2,7,12
FoyV,X,1,1,1,2
Gary,X,1,1,1,1
Johnny,X,3,1,3,5
Phar,X,1,3,1,2
Rudi,X,1,1,1,1
AliP,1989,1,1,1,1
Imog,1989,1,1,1,1
JackA,1989,1,1,1,2
MaxM,1989,3,1,5,7
Ryan,1989,1,1,1,2
Tayl,1989,7,2,7,13
Aria,Purp,1,3,1,1
AUGU,Purp,1,1,1,1
Benn,Purp,1,1,1,1
BigS,Purp,1,3,1,1
BigT,Purp,1,1,1,1
Bloo,Purp,3,1,3,3
Brando,Purp,1,1,1,1
Clar,Purp,1,1,1,1
Dipl,Purp,1,1,1,1
Domi,Purp,1,1,1,1
Eben,Purp,1,1,1,1
EdSh,Purp,1,1,1,1
Glad,Purp,1,1,1,1
IanK,Purp,1,1,1,1
Jame,Purp,1,1,1,1
Jere,Purp,1,1,1,1
Jhar,Purp,1,1,1,1
JimmyG,Purp,1,1,1,1
JordanW,Purp,1,1,1,1
Josh,Purp,1,1,1,1
JuliaM,Purp,1,1,1,2
Just,Purp,7,2,7,14
JustinTr,Purp,1,1,1,1
Karl,Purp,1,1,1,1
Mark,Purp,1,1,1,1
MdL,Purp,1,1,1,2
MIKE,Purp,1,1,1,1
Nico,Purp,1,1,1,1
PooB,Purp,5,1,7,10
RonN,Purp,1,1,1,1
Sara,Purp,1,1,1,1
Scoo,Purp,1,1,1,1
Skri,Purp,3,1,3,5
Stev,Purp,1,1,1,1
Thom,Purp,1,1,1,1
Trav,Purp,1,3,1,1
SamS,InTh,7,10,7,2
TwoI,InTh,2,2,1,1
EgWh,InTh,2,2,1,1
Jeff,InTh,1,1,1,1
JimmyN,InTh,2,2,1,1
Tour,InTh,1,1,1,1
TomP,InTh,1,1,1,1
SimonA,InTh,1,1,1,1
Matt,InTh,1,1,1,1
Fras,InTh,1,1,1,1
Elvi,InTh,1,1,1,1
EdDr,Made,3,1,3,4
JohnR,Made,5,1,7,12
Juli,Made,5,1,7,13
Jami,Made,3,1,5,6
MoZe,Made,1,1,1,1
Jaco,Made,1,1,3,3
JesseS,Made,1,1,1,1
Loui,Made,3,2,5,7
Harr,Made,3,2,3,5
Lunc,Made,1,1,1,1
Wayn,Made,3,1,3,4
Liam,Made,3,2,5,6
Joha,Made,1,1,1,1
Ross,Made,1,1,1,1
Nial,Made,3,2,3,4
MikeN,Made,1,1,1,1
DanielB,Made,1,1,1,1
Amma,Made,1,1,1,1
TMS,Made,1,1,1,1
IanF,Made,1,1,1,1
AndrewH,Made,1,1,1,1
WillChampl,Made,1,1,1,1
AliP,Fift,1,1,1,1
Aman,Fift,1,1,1,1
Barn,Fift,1,1,1,1
Bell,Fift,1,1,1,2
BenV,Fift,1,1,1,1
Beyo,Fift,1,1,1,2
Blyt,Fift,1,1,1,1
BOOT,Fift,1,1,1,1
BrianW,Fift,1,1,1,1
Bruc,Fift,1,1,1,1
Caro,Fift,1,1,1,1
CyCo,Fift,1,1,1,1
DaHe,Fift,1,1,1,1
DannyE,Fift,1,1,1,2
DaveO,Fift,1,1,1,1
Devo,Fift,1,1,1,1
Emil,Fift,1,1,1,1
Euge,Fift,1,1,1,1
Gera,Fift,1,1,1,1
ILYA,Fift,1,1,1,1
JAY-Z,Fift,1,1,1,1
JessieW,Fift,1,1,1,1
Keit,Fift,1,1,1,1
Laur,Fift,1,1,1,1
MaxM,Fift,1,1,1,1
Mick,Fift,1,1,1,1
MIKE,Fift,1,1,1,1
Oliv,Fift,1,1,1,1
Rich,Fift,1,1,1,1
Sava,Fift,1,1,1,1
Scre,Fift,1,1,1,1
Sia,Fift,1,1,1,1
Skyl,Fift,1,1,1,1
Step,Fift,1,1,1,2
TheW,Fift,1,1,1,2
Tove,Fift,1,1,1,1
ChrisM,Ahea,5,2,7,10
GuyB,Ahea,5,2,7,10
JohnN,Ahea,1,1,1,1
JonnyB,Ahea,5,2,7,10
Mikk,Ahea,1,1,1,1
Rumi,Ahea,1,1,1,2
TorE,Ahea,1,1,1,1
WillC,Ahea,5,2,7,10
BenF,Titl,1,1,1,1
Bret,Titl,1,1,1,1
Cait,Titl,1,1,1,1
Chri,Titl,1,1,1,1
DaveR,Titl,1,1,1,1
JamesG,Titl,1,1,1,1
Jess,Titl,1,1,1,1
JustinW,Titl,1,1,1,1
KarenT,Titl,1,1,1,1
KevinK,Titl,3,1,5,7
MattM,Titl,1,1,1,1
Megh,Titl,5,2,7,14
ShyC,Titl,1,3,1,1
Todd,Titl,1,1,1,1
AliK,Beau,1,1,1,1
AliP,Beau,3,1,3,3
Bell,Beau,3,1,3,5
BenB,Beau,3,1,3,4
CarlM,Beau,1,1,1,1
CheP,Beau,1,1,1,1
DaHe,Beau,3,1,5,6
Dann,Beau,3,1,3,4
DJKh,Beau,1,1,1,1
EdSh,Beau,1,3,1,1
Illa,Beau,3,1,5,6
Kany,Beau,1,1,1,1
Labr,Beau,1,3,1,1
Lana,Beau,1,3,1,1
Mano,Beau,1,1,1,1
MaxM,Beau,1,1,1,2
MIKE,Beau,1,1,1,1
Noah,Beau,1,1,1,1
Osma,Beau,1,1,1,1
Pete,Beau,3,1,3,3
Rober,Beau,1,1,1,1
Sabah,Beau,1,1,1,1
Sava,Beau,3,1,3,3
Step,Beau,3,1,3,3
TheW,Beau,7,2,7,14
Thom,Beau,1,1,1,1
Alan,Lemo,1,1,1,1
Alex,Lemo,1,1,1,1
Andr,Lemo,1,1,1,1
Anto,Lemo,1,1,1,1
Avey,Lemo,1,1,1,1
Bach,Lemo,1,1,1,1
Bell,Lemo,1,1,1,1
BenB,Lemo,1,1,1,1
Beyo,Lemo,5,2,7,10
BigB,Lemo,1,1,1,1
BOOT,Lemo,1,1,1,1
Bria,Lemo,1,1,1,1
Burt,Lemo,1,1,1,1
Carla,Lemo,1,1,1,1
Dann,Lemo,1,1,1,1
Dean,Lemo,1,1,1,1
Dian,Lemo,3,1,3,3
Dipl,Lemo,1,1,1,2
DJKh,Lemo,1,1,1,1
DocP,Lemo,1,1,1,1
Emil,Lemo,1,1,1,1
Ezra,Lemo,1,1,1,1
Fath,Lemo,1,1,1,1
Fran,Lemo,1,1,1,1
Geol,Lemo,1,1,1,1
HalD,Lemo,1,1,1,1
Ilse,Lemo,1,1,1,1
Ingr,Lemo,1,1,1,1
Jack,Lemo,1,3,1,1
James,Lemo,1,1,1,2
JamesP,Lemo,1,1,1,1
JohnB,Lemo,1,3,1,1
JohnL,Lemo,1,1,1,1
JohnP,Lemo,1,1,1,1
Jonn,Lemo,1,1,1,1
Jorda,Lemo,1,1,1,1
JRM,Lemo,1,1,1,1
Kare,Lemo,1,1,1,1
Kend,Lemo,1,3,1,1
KevinC,Lemo,1,1,1,1
KevinG,Lemo,1,1,1,1
KevinM,Lemo,1,1,1,1
Mali,Lemo,1,1,1,1
MeLo,Lemo,1,1,1,2
Midi,Lemo,1,1,1,1
MIKE,Lemo,1,1,1,1
MikeW,Lemo,1,1,1,1
MNEK,Lemo,1,1,1,1
Mort,Lemo,1,1,1,1
Nick,Lemo,1,1,1,1
Pand,Lemo,1,1,1,1
Plus,Lemo,1,1,1,1
R.Cit,Lemo,1,1,1,1
Robe,Lemo,1,1,1,1
Slee,Lemo,1,1,1,1
Slim,Lemo,1,1,1,1
Soul,Lemo,1,1,1,1
Swae,Lemo,1,1,1,1
The-D,Lemo,1,1,1,1
Ther,Lemo,1,1,1,1
TheW,Lemo,1,3,1,1
Timo,Lemo,1,1,1,1
Vinc,Lemo,1,1,1,1
Worl,Lemo,1,1,1,1
Davi,Blac,7,2,5,7
Paul,Blac,1,1,1,1
BobB,Blac,1,1,1,1
Mari,Blac,1,1,1,1
Budd,Blue,1,1,1,1
Howl,Blue,1,1,1,1
Litt,Blue,3,1,3,3
Magi,Blue,1,1,1,1
Mile,Blue,1,1,1,1
Lerm,Blue,1,1,1,1
Eddi,Blue,1,1,1,1
Otis,Blue,1,1,1,1
Jerr,Blue,1,1,1,1
Ewar,Blue,1,1,1,1
Jimm,Blue,1,1,1,1
Willi,Blue,1,1,1,2
Tyle,Blur,7,2,7,14
Mike,Blur,1,1,1,1
Trad,Apen,7,1,5,4
Irvi,Apen,7,1,5,1
Walt,Apen,7,1,5,1
KimG,Apen,7,1,5,1
Buck,Apen,7,1,5,1
Scot,Apen,7,2,5,2
Kevi,Apen,7,2,5,1
Leon,Apen,7,1,5,1
NoID,Apen,7,1,5,1
Kany,Apen,7,1,5,1
Rola,Apen,7,1,5,1
Kirs,Apen,7,2,5,1
Vince,Apen,7,1,5,1
JustT,Apen,7,1,5,1
JCCh,Apen,7,1,5,1
Kenz,View,3,1,5,6
Mane,View,3,1,3,5
Drak,View,5,2,7,19
DavidC,View,1,1,1,1
Sera,View,1,1,1,1
Mava,View,1,1,1,1
Brian,View,1,1,1,1
Boi-1,View,3,1,5,6
40,View,3,1,7,12
Devi,View,1,1,1,1
Fait,View,1,1,1,1
Axel,View,1,1,1,1
Noki,View,1,1,1,1
Phil,View,1,1,1,1
Anth,View,1,1,1,1
PART,View,1,3,1,2
OZ,View,1,1,1,1
Ricc,View,1,1,1,1
Viny,View,1,1,1,1
DJDa,View,1,1,1,1
Kany,View,1,1,1,2
Dave,View,1,1,1,1
Malc,View,1,1,1,1
Anne,View,1,1,1,1
Futu,View,1,3,1,2
Jord,View,1,1,1,1
Keâ€˜no,View,1,1,1,1
Nine,View,3,1,5,6
TimG,View,1,1,1,1
KevinGo,View,1,1,1,1
TheB,View,1,1,1,1
JonL,View,1,1,1,1
Stwo,View,1,1,1,1
Carl,View,1,1,1,1
Edga,View,1,1,1,1
DavidH,View,1,1,1,1
Didd,View,1,1,1,1
Mary,View,1,1,1,1
MikeO,View,1,1,1,1
RayJ,View,1,1,1,1
Rodn,View,1,1,1,1
Fred,View,1,1,1,1
LaSh,View,1,1,1,1
Cardi,View,1,1,1,1
Murd,View,1,1,1,1
Dani,View,1,1,1,1
Brya,View,1,1,1,1
Kevin,View,1,1,1,1
John,View,1,1,1,1
Pimp,View,1,3,1,1
Daxz,View,1,1,1,1
Andre,View,1,1,1,1
Patr,View,1,1,1,1
Garu,View,1,1,1,1
Dona,View,1,1,1,1
Aqua,View,1,1,1,1
DiGe,View,1,1,1,1
Alle,View,1,1,1,1
Supa,View,1,1,1,2
Been,View,1,1,1,1
Loga,View,1,1,1,1
Erro,View,1,1,1,1
Simo,View,1,1,1,1
DJMa,View,1,1,1,1
Kyla,View,1,3,1,1
Wizk,View,1,3,1,1
Broc,View,1,1,1,1
Yung,View,1,1,1,1
Sout,View,1,1,1,1
Card,View,1,1,1,1
Prin,View,1,1,1,1
Kool,View,1,1,1,1
Buff,View,1,1,1,1
Metr,View,1,1,1,1
JAY-Z,View,1,1,1,1
Frank,View,1,1,1,1
Sevn,View,1,1,1,1
Adam,View,1,1,1,1
DreS,View,1,1,1,1
Popc,View,1,1,1,1
Riha,View,1,3,1,1
Maji,View,1,3,1,1
CatD,View,1,1,1,1
Curt,View,1,1,1,1
Will,View,1,1,1,1
Bran,View,1,1,1,1
Marv,View,1,1,1,1
Aion,View,1,1,1,1
Voyc,View,1,1,1,1
Timm,View,1,1,1,1
Crai,View,1,1,1,1
DJPa,View,1,1,1,1
Kodi,View,1,1,1,1
Play,View,1,1,1,1
Fluk,View,1,1,1,1
Damo,View,1,1,1,1
Prin,View,1,1,1,1
Darr,View,1,1,1,1
